Centro,Distrito Centro,Tramo Edad,N_personas_atendidas
CSS Badalona,FUENCARRAL-EL PARDO, ,3
CSS Badalona,FUENCARRAL-EL PARDO,0 - 3,232
CSS Badalona,FUENCARRAL-EL PARDO,12 - 17,539
CSS Badalona,FUENCARRAL-EL PARDO,18 - 24,494
CSS Badalona,FUENCARRAL-EL PARDO,25 - 29,315
CSS Badalona,FUENCARRAL-EL PARDO,30 - 34,316
CSS Badalona,FUENCARRAL-EL PARDO,35 - 39,396
CSS Badalona,FUENCARRAL-EL PARDO,4 - 11,731
CSS Badalona,FUENCARRAL-EL PARDO,40 - 44,508
CSS Badalona,FUENCARRAL-EL PARDO,45 - 49,446
CSS Badalona,FUENCARRAL-EL PARDO,50 - 54,419
CSS Badalona,FUENCARRAL-EL PARDO,55 - 59,409
CSS Badalona,FUENCARRAL-EL PARDO,60 - 64,381
CSS Badalona,FUENCARRAL-EL PARDO,65 - 69,389
CSS Badalona,FUENCARRAL-EL PARDO,70 - 74,473
CSS Badalona,FUENCARRAL-EL PARDO,75 - 79,886
CSS Badalona,FUENCARRAL-EL PARDO,80 - 84,1285
CSS Badalona,FUENCARRAL-EL PARDO,>= 85,3019
CSS Calahorra,VICÁLVARO, ,1
CSS Calahorra,VICÁLVARO,0 - 3,217
CSS Calahorra,VICÁLVARO,12 - 17,456
CSS Calahorra,VICÁLVARO,18 - 24,386
CSS Calahorra,VICÁLVARO,25 - 29,220
CSS Calahorra,VICÁLVARO,30 - 34,256
CSS Calahorra,VICÁLVARO,35 - 39,310
CSS Calahorra,VICÁLVARO,4 - 11,566
CSS Calahorra,VICÁLVARO,40 - 44,325
CSS Calahorra,VICÁLVARO,45 - 49,258
CSS Calahorra,VICÁLVARO,50 - 54,243
CSS Calahorra,VICÁLVARO,55 - 59,182
CSS Calahorra,VICÁLVARO,60 - 64,158
CSS Calahorra,VICÁLVARO,65 - 69,95
CSS Calahorra,VICÁLVARO,70 - 74,139
CSS Calahorra,VICÁLVARO,75 - 79,361
CSS Calahorra,VICÁLVARO,80 - 84,539
CSS Calahorra,VICÁLVARO,>= 85,812
CSS Concepción Arenal,HORTALEZA, ,5
CSS Concepción Arenal,HORTALEZA,0 - 3,168
CSS Concepción Arenal,HORTALEZA,12 - 17,401
CSS Concepción Arenal,HORTALEZA,18 - 24,383
CSS Concepción Arenal,HORTALEZA,25 - 29,233
CSS Concepción Arenal,HORTALEZA,30 - 34,288
CSS Concepción Arenal,HORTALEZA,35 - 39,345
CSS Concepción Arenal,HORTALEZA,4 - 11,574
CSS Concepción Arenal,HORTALEZA,40 - 44,387
CSS Concepción Arenal,HORTALEZA,45 - 49,401
CSS Concepción Arenal,HORTALEZA,50 - 54,387
CSS Concepción Arenal,HORTALEZA,55 - 59,371
CSS Concepción Arenal,HORTALEZA,60 - 64,326
CSS Concepción Arenal,HORTALEZA,65 - 69,315
CSS Concepción Arenal,HORTALEZA,70 - 74,490
CSS Concepción Arenal,HORTALEZA,75 - 79,1127
CSS Concepción Arenal,HORTALEZA,80 - 84,1537
CSS Concepción Arenal,HORTALEZA,>= 85,3452
CSS Dehesa de la Villa,MONCLOA-ARAVACA     , ,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,0 - 3,92
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,12 - 17,237
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,18 - 24,209
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,25 - 29,142
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,30 - 34,166
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,35 - 39,183
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,4 - 11,268
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,40 - 44,226
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,45 - 49,199
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,50 - 54,220
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,55 - 59,164
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,60 - 64,167
