Centro,Distrito Centro,N_personas_atendidas
CSS Badalona,FUENCARRAL-EL PARDO,11241
CSS Calahorra,VICÁLVARO,5524
CSS Concepción Arenal,HORTALEZA,11190
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,5329
CSS Eduardo Minguito,VILLAVERDE,15240
CSS El Querol,HORTALEZA,6482
CSS Entrevías,PUENTE DE VALLECAS,8851
CSS Fuente Carrantona,MORATALAZ,14702
CSS Fuerte de Navidad,LATINA,15441
CSS Gallur,LATINA,14353
CSS Guindalera,SALAMANCA,11571
CSS Huerta de Villaverde,VILLAVERDE,18085
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,4856
CSS José Villarreal,ARGANZUELA,13817
CSS Los Yébenes,LATINA,12717
CSS Loyola de Palacio,USERA ,10976
CSS Luis Vives,CIUDAD LINEAL,22277
CSS Maravillas,CENTRO,5492
CSS Marta Esquivias Tallada,CHAMBERÍ,11532
CSS María Zayas,TETUÁN,13453
CSS Monseñor Óscar Romero,CARABANCHEL,14277
CSS Pablo Casals,SAN BLAS-CANILLEJAS,10861
CSS Pablo Neruda,PUENTE DE VALLECAS,10475
CSS Plaza Elíptica,CARABANCHEL,10779
CSS Puerta de Toledo,CENTRO,8365
CSS Ramón Pérez De Ayala,PUENTE DE VALLECAS,9976
CSS Retiro,RETIRO,10154
CSS San Diego,PUENTE DE VALLECAS,14480
CSS San Filiberto,USERA ,18893
CSS San Vicente de Paúl,FUENCARRAL-EL PARDO,12035
CSS Santa Felicidad,CIUDAD LINEAL,6336
CSS Santa Hortensia,CHAMARTÍN,10655
CSS Teresa de Calcuta,BARAJAS,4889
CSS Torre Arias,SAN BLAS-CANILLEJAS,11788
CSS Valdebernardo,VICÁLVARO,5806
CSS Vicente Ferrer,TETUÁN,9760
CSS Villa de Vallecas,VILLA DE VALLECAS,14573
CSS Zaida,CARABANCHEL,20155
