Centro,Distrito Centro,Resultado Cita,N_citas_proporcionadas
CSS Badalona,FUENCARRAL-EL PARDO, ,1508
CSS Badalona,FUENCARRAL-EL PARDO,Acude,1066
CSS Badalona,FUENCARRAL-EL PARDO,Atendido,4825
CSS Badalona,FUENCARRAL-EL PARDO,Cancelado por el profesional,122
CSS Badalona,FUENCARRAL-EL PARDO,Cancelado por el usuario,24
CSS Badalona,FUENCARRAL-EL PARDO,Exitus,53
CSS Badalona,FUENCARRAL-EL PARDO,Incorporación a PA,30
CSS Badalona,FUENCARRAL-EL PARDO,No se presenta,202
CSS Badalona,FUENCARRAL-EL PARDO,Otro motivo de cancelación,170
CSS Badalona,FUENCARRAL-EL PARDO,Otros,11
CSS Calahorra,VICÁLVARO, ,483
CSS Calahorra,VICÁLVARO,Acude,558
CSS Calahorra,VICÁLVARO,Atendido,2614
CSS Calahorra,VICÁLVARO,Cancelado por el profesional,2
CSS Calahorra,VICÁLVARO,Cancelado por el usuario,7
CSS Calahorra,VICÁLVARO,Exitus,12
CSS Calahorra,VICÁLVARO,Incorporación a PA,62
CSS Calahorra,VICÁLVARO,No se presenta,170
CSS Calahorra,VICÁLVARO,Otro motivo de cancelación,99
CSS Calahorra,VICÁLVARO,Otros,9
CSS Concepción Arenal,HORTALEZA, ,1217
CSS Concepción Arenal,HORTALEZA,Acude,2387
CSS Concepción Arenal,HORTALEZA,Atendido,4471
CSS Concepción Arenal,HORTALEZA,Cancelado por el profesional,44
CSS Concepción Arenal,HORTALEZA,Cancelado por el usuario,32
CSS Concepción Arenal,HORTALEZA,Eliminación calendario,1
CSS Concepción Arenal,HORTALEZA,Exitus,30
CSS Concepción Arenal,HORTALEZA,Incorporación a PA,19
CSS Concepción Arenal,HORTALEZA,No se presenta,303
CSS Concepción Arenal,HORTALEZA,Otro motivo de cancelación,190
CSS Concepción Arenal,HORTALEZA,Otros,2
CSS Dehesa de la Villa,MONCLOA-ARAVACA     , ,149
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Acude,1224
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Atendido,3987
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Cancelado por el profesional,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Cancelado por el usuario,28
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Eliminación calendario,1
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Exitus,6
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Incorporación a PA,29
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,No se presenta,222
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Otro motivo de cancelación,81
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,Otros,37
CSS Eduardo Minguito,VILLAVERDE, ,877
CSS Eduardo Minguito,VILLAVERDE,Acude,1183
CSS Eduardo Minguito,VILLAVERDE,Atendido,7057
CSS Eduardo Minguito,VILLAVERDE,Cancelado por el profesional,541
CSS Eduardo Minguito,VILLAVERDE,Cancelado por el usuario,110
CSS Eduardo Minguito,VILLAVERDE,Eliminación calendario,2
CSS Eduardo Minguito,VILLAVERDE,Exitus,12
CSS Eduardo Minguito,VILLAVERDE,Incorporación a PA,66
CSS Eduardo Minguito,VILLAVERDE,No se presenta,1151
CSS Eduardo Minguito,VILLAVERDE,Otro motivo de cancelación,573
CSS Eduardo Minguito,VILLAVERDE,Otros,4
CSS El Querol,HORTALEZA, ,409
CSS El Querol,HORTALEZA,Acude,1024
CSS El Querol,HORTALEZA,Atendido,3316
CSS El Querol,HORTALEZA,Cancelado por el profesional,31
CSS El Querol,HORTALEZA,Cancelado por el usuario,21
CSS El Querol,HORTALEZA,Exitus,8
CSS El Querol,HORTALEZA,Incorporación a PA,50
CSS El Querol,HORTALEZA,No se presenta,294
CSS El Querol,HORTALEZA,Otro motivo de cancelación,78
CSS El Querol,HORTALEZA,Otros,1
CSS Entrevías,PUENTE DE VALLECAS, ,696
CSS Entrevías,PUENTE DE VALLECAS,Acude,1585
CSS Entrevías,PUENTE DE VALLECAS,Atendido,4980
CSS Entrevías,PUENTE DE VALLECAS,Cancelado por el profesional,34
CSS Entrevías,PUENTE DE VALLECAS,Cancelado por el usuario,26
CSS Entrevías,PUENTE DE VALLECAS,Eliminación calendario,2
CSS Entrevías,PUENTE DE VALLECAS,Exitus,13
CSS Entrevías,PUENTE DE VALLECAS,Incorporación a PA,54
CSS Entrevías,PUENTE DE VALLECAS,No se presenta,252
CSS Entrevías,PUENTE DE VALLECAS,Otro motivo de cancelación,121
CSS Entrevías,PUENTE DE VALLECAS,Otros,10
CSS Fuente Carrantona,MORATALAZ, ,649
CSS Fuente Carrantona,MORATALAZ,Acude,1704
CSS Fuente Carrantona,MORATALAZ,Atendido,4598
CSS Fuente Carrantona,MORATALAZ,Cancelado por el profesional,81
CSS Fuente Carrantona,MORATALAZ,Cancelado por el usuario,52
CSS Fuente Carrantona,MORATALAZ,Eliminación calendario,6
CSS Fuente Carrantona,MORATALAZ,Exitus,25
CSS Fuente Carrantona,MORATALAZ,Incorporación Zona,1
CSS Fuente Carrantona,MORATALAZ,Incorporación a PA,57
CSS Fuente Carrantona,MORATALAZ,No se presenta,537
CSS Fuente Carrantona,MORATALAZ,Otro motivo de cancelación,132
CSS Fuente Carrantona,MORATALAZ,Otros,10
CSS Fuerte de Navidad,LATINA, ,1345
CSS Fuerte de Navidad,LATINA,Acude,2791
CSS Fuerte de Navidad,LATINA,Atendido,11583
CSS Fuerte de Navidad,LATINA,Cancelado por el profesional,88
CSS Fuerte de Navidad,LATINA,Cancelado por el usuario,56
CSS Fuerte de Navidad,LATINA,Exitus,33
CSS Fuerte de Navidad,LATINA,Incorporación a PA,157
CSS Fuerte de Navidad,LATINA,No se presenta,152
CSS Fuerte de Navidad,LATINA,Otro motivo de cancelación,70
CSS Fuerte de Navidad,LATINA,Otros,26
CSS Gallur,LATINA, ,1881
CSS Gallur,LATINA,Acude,1985
CSS Gallur,LATINA,Atendido,10094
CSS Gallur,LATINA,Cancelado por el profesional,166
CSS Gallur,LATINA,Cancelado por el usuario,22
CSS Gallur,LATINA,Eliminación calendario,1
CSS Gallur,LATINA,Exitus,27
CSS Gallur,LATINA,Incorporación a PA,87
CSS Gallur,LATINA,No se presenta,612
CSS Gallur,LATINA,Otro motivo de cancelación,84
CSS Gallur,LATINA,Otros,24
CSS Gallur,LATINA,Pendiente de cierre Grupo,10
CSS Guindalera,SALAMANCA, ,584
CSS Guindalera,SALAMANCA,Acude,2391
CSS Guindalera,SALAMANCA,Atendido,6794
CSS Guindalera,SALAMANCA,Cancelado por el profesional,24
CSS Guindalera,SALAMANCA,Cancelado por el usuario,41
CSS Guindalera,SALAMANCA,Exitus,37
CSS Guindalera,SALAMANCA,Incorporación a PA,9
CSS Guindalera,SALAMANCA,No Atendido,8
CSS Guindalera,SALAMANCA,No se presenta,450
CSS Guindalera,SALAMANCA,Otro motivo de cancelación,193
CSS Guindalera,SALAMANCA,Otros,10
CSS Guindalera,SALAMANCA,Pendiente de cierre Grupo,15
CSS Huerta de Villaverde,VILLAVERDE, ,1210
CSS Huerta de Villaverde,VILLAVERDE,Acude,969
CSS Huerta de Villaverde,VILLAVERDE,Atendido,6109
CSS Huerta de Villaverde,VILLAVERDE,Cancelado por el profesional,58
CSS Huerta de Villaverde,VILLAVERDE,Cancelado por el usuario,45
CSS Huerta de Villaverde,VILLAVERDE,Exitus,30
CSS Huerta de Villaverde,VILLAVERDE,Incorporación a PA,289
CSS Huerta de Villaverde,VILLAVERDE,No se presenta,1038
CSS Huerta de Villaverde,VILLAVERDE,Otro motivo de cancelación,303
CSS Huerta de Villaverde,VILLAVERDE,Otros,12
CSS Infante Don Juan ,MONCLOA-ARAVACA     , ,411
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Acude,1002
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Atendido,3591
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Cancelado por el profesional,3
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Cancelado por el usuario,18
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Eliminación calendario,1
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Exitus,13
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Incorporación a PA,94
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,No se presenta,236
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Otro motivo de cancelación,59
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,Otros,5
CSS José Villarreal,ARGANZUELA, ,1260
CSS José Villarreal,ARGANZUELA,Acude,3332
CSS José Villarreal,ARGANZUELA,Atendido,9920
CSS José Villarreal,ARGANZUELA,Cancelado por el profesional,363
CSS José Villarreal,ARGANZUELA,Cancelado por el usuario,41
CSS José Villarreal,ARGANZUELA,Eliminación calendario,1
CSS José Villarreal,ARGANZUELA,Exitus,38
CSS José Villarreal,ARGANZUELA,Incorporación a PA,65
CSS José Villarreal,ARGANZUELA,No se presenta,661
CSS José Villarreal,ARGANZUELA,Otro motivo de cancelación,265
CSS José Villarreal,ARGANZUELA,Otros,181
CSS Los Yébenes,LATINA, ,1498
CSS Los Yébenes,LATINA,Acude,2325
CSS Los Yébenes,LATINA,Atendido,7206
CSS Los Yébenes,LATINA,Cancelado por el profesional,14
CSS Los Yébenes,LATINA,Cancelado por el usuario,14
CSS Los Yébenes,LATINA,Exitus,26
CSS Los Yébenes,LATINA,Incorporación a PA,257
CSS Los Yébenes,LATINA,No se presenta,179
CSS Los Yébenes,LATINA,Otro motivo de cancelación,103
CSS Los Yébenes,LATINA,Otros,14
CSS Loyola de Palacio,USERA , ,771
CSS Loyola de Palacio,USERA ,Acude,1641
CSS Loyola de Palacio,USERA ,Atendido,7496
CSS Loyola de Palacio,USERA ,Cancelado por el profesional,79
CSS Loyola de Palacio,USERA ,Cancelado por el usuario,36
CSS Loyola de Palacio,USERA ,Exitus,16
CSS Loyola de Palacio,USERA ,Incorporación a PA,56
CSS Loyola de Palacio,USERA ,No se presenta,285
CSS Loyola de Palacio,USERA ,Otro motivo de cancelación,134
CSS Loyola de Palacio,USERA ,Otros,6
CSS Luis Vives,CIUDAD LINEAL, ,1789
CSS Luis Vives,CIUDAD LINEAL,Acude,2369
CSS Luis Vives,CIUDAD LINEAL,Atendido,9544
CSS Luis Vives,CIUDAD LINEAL,Cancelado,3
CSS Luis Vives,CIUDAD LINEAL,Cancelado por el profesional,147
CSS Luis Vives,CIUDAD LINEAL,Cancelado por el usuario,76
CSS Luis Vives,CIUDAD LINEAL,Derivación a otros sistemas,2
CSS Luis Vives,CIUDAD LINEAL,Eliminación calendario,11
CSS Luis Vives,CIUDAD LINEAL,Exitus,44
CSS Luis Vives,CIUDAD LINEAL,Incorporación Zona,2
CSS Luis Vives,CIUDAD LINEAL,Incorporación a PA,925
CSS Luis Vives,CIUDAD LINEAL,No se presenta,541
CSS Luis Vives,CIUDAD LINEAL,Otro motivo de cancelación,155
CSS Luis Vives,CIUDAD LINEAL,Otros,10
CSS Maravillas,CENTRO, ,510
CSS Maravillas,CENTRO,Acude,2028
CSS Maravillas,CENTRO,Atendido,5101
CSS Maravillas,CENTRO,Cancelado por el profesional,24
CSS Maravillas,CENTRO,Cancelado por el usuario,3
CSS Maravillas,CENTRO,Eliminación calendario,4
CSS Maravillas,CENTRO,Exitus,8
CSS Maravillas,CENTRO,Incorporación a PA,267
CSS Maravillas,CENTRO,No se presenta,250
CSS Maravillas,CENTRO,Otro motivo de cancelación,26
CSS Maravillas,CENTRO,Otros,6
CSS Marta Esquivias Tallada,CHAMBERÍ, ,713
CSS Marta Esquivias Tallada,CHAMBERÍ,Acude,1905
CSS Marta Esquivias Tallada,CHAMBERÍ,Atendido,5878
CSS Marta Esquivias Tallada,CHAMBERÍ,Cancelado por el profesional,171
CSS Marta Esquivias Tallada,CHAMBERÍ,Cancelado por el usuario,63
CSS Marta Esquivias Tallada,CHAMBERÍ,Exitus,23
CSS Marta Esquivias Tallada,CHAMBERÍ,Incorporación a PA,30
CSS Marta Esquivias Tallada,CHAMBERÍ,No se presenta,604
CSS Marta Esquivias Tallada,CHAMBERÍ,Otro motivo de cancelación,138
CSS Marta Esquivias Tallada,CHAMBERÍ,Otros,20
CSS María Zayas,TETUÁN, ,1346
CSS María Zayas,TETUÁN,Acude,1873
CSS María Zayas,TETUÁN,Atendido,6819
CSS María Zayas,TETUÁN,Cancelado por el profesional,62
CSS María Zayas,TETUÁN,Cancelado por el usuario,41
CSS María Zayas,TETUÁN,Eliminación calendario,1
CSS María Zayas,TETUÁN,Exitus,18
CSS María Zayas,TETUÁN,Incorporación a PA,36
CSS María Zayas,TETUÁN,No se presenta,592
CSS María Zayas,TETUÁN,Otro motivo de cancelación,90
CSS María Zayas,TETUÁN,Otros,10
CSS Monseñor Óscar Romero,CARABANCHEL, ,700
CSS Monseñor Óscar Romero,CARABANCHEL,Acude,2006
CSS Monseñor Óscar Romero,CARABANCHEL,Atendido,8469
CSS Monseñor Óscar Romero,CARABANCHEL,Cancelado por el profesional,38
CSS Monseñor Óscar Romero,CARABANCHEL,Cancelado por el usuario,37
CSS Monseñor Óscar Romero,CARABANCHEL,Eliminación calendario,2
