Centro,Distrito Centro,N_citas_proporcionadas
CSS Badalona,FUENCARRAL-EL PARDO,8011
CSS Calahorra,VICÁLVARO,4016
CSS Concepción Arenal,HORTALEZA,8696
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,5770
CSS Eduardo Minguito,VILLAVERDE,11576
CSS El Querol,HORTALEZA,5232
CSS Entrevías,PUENTE DE VALLECAS,7773
CSS Fuente Carrantona,MORATALAZ,7852
CSS Fuerte de Navidad,LATINA,16301
CSS Gallur,LATINA,14993
CSS Guindalera,SALAMANCA,10556
CSS Huerta de Villaverde,VILLAVERDE,10063
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,5433
CSS José Villarreal,ARGANZUELA,16127
CSS Los Yébenes,LATINA,11636
CSS Loyola de Palacio,USERA ,10520
CSS Luis Vives,CIUDAD LINEAL,15618
CSS Maravillas,CENTRO,8227
CSS Marta Esquivias Tallada,CHAMBERÍ,9545
CSS María Zayas,TETUÁN,10888
CSS Monseñor Óscar Romero,CARABANCHEL,12147
CSS Pablo Casals,SAN BLAS-CANILLEJAS,6634
CSS Pablo Neruda,PUENTE DE VALLECAS,8439
CSS Plaza Elíptica,CARABANCHEL,8584
CSS Puerta de Toledo,CENTRO,8881
CSS Ramón Pérez De Ayala,PUENTE DE VALLECAS,7902
CSS Retiro,RETIRO,6780
CSS San Diego,PUENTE DE VALLECAS,11860
CSS San Filiberto,USERA ,13221
CSS San Vicente de Paúl,FUENCARRAL-EL PARDO,7934
CSS Santa Felicidad,CIUDAD LINEAL,4979
CSS Santa Hortensia,CHAMARTÍN,10341
CSS Teresa de Calcuta,BARAJAS,4497
CSS Torre Arias,SAN BLAS-CANILLEJAS,7764
CSS Valdebernardo,VICÁLVARO,5652
CSS Vicente Ferrer,TETUÁN,7539
CSS Villa de Vallecas,VILLA DE VALLECAS,9856
CSS Zaida,CARABANCHEL,16017
SERVICIOS SOCIALES, ,13
