Centro,Distrito Centro,Tramo Edad,Proceso,N_demandas
CSS Badalona,FUENCARRAL-EL PARDO, ,ACTIVIDADES PREVENTIVAS DE ESP. NECESIDAD MENORES,1
CSS Badalona,FUENCARRAL-EL PARDO, ,ARRAIGO SOCIAL  ,1
CSS Badalona,FUENCARRAL-EL PARDO, ,ASOCIACIONES ONG,13
CSS Badalona,FUENCARRAL-EL PARDO, ,ATENCIÓN PSICOLOGICA,3
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA COMEDOR ESCOLAR,13
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA ACTIVIDADES PREVENTIVAS PARA MENORES,1
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA COMEDOR ESCOLAR,15
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA COMEDOR PARA MAYORES,1
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA ESCUELA INFANTIL,3
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS,5
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,63
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,1
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ECONÓMICA PEQUEÑAS REPARACIONES DE VIVIENDA HABITUAL Y AYUDAS TÉCNICAS,5
CSS Badalona,FUENCARRAL-EL PARDO, ,AYUDA ESCUELA INFANTIL,2
CSS Badalona,FUENCARRAL-EL PARDO, ,BECAS COMEDOR ESCOLAR CM,2
CSS Badalona,FUENCARRAL-EL PARDO, ,CAMA ARTICULADA,4
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM,11
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE APOYO A LA FAMILIA,4
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE ATENCION INFANCIA (CAI),1
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE ATENCION SOCIAL A MUJERES,1
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE DIA PARA MENORES (CRUZ ROJA),3
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),8
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL),11
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS),10
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTRO DE DÍA DEPENDENCIA (PERSONAS CON DETERIORO FÍSICO O RELACIONAL),2
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTROS ABIERTOS ,6
CSS Badalona,FUENCARRAL-EL PARDO, ,CENTROS DE ACOGIDA,2
CSS Badalona,FUENCARRAL-EL PARDO, ,COBERTURA NECESIDADES BASICAS,2
CSS Badalona,FUENCARRAL-EL PARDO, ,COMIDA A DOMICILIO,20
CSS Badalona,FUENCARRAL-EL PARDO, ,CUIDAR A QUIENES CUIDAN,8
CSS Badalona,FUENCARRAL-EL PARDO, ,DEPENDENCIA CM,82
CSS Badalona,FUENCARRAL-EL PARDO, ,EDUCACIÓN / CULTURA CM,1
CSS Badalona,FUENCARRAL-EL PARDO, ,EDUCADOR SOCIAL,7
CSS Badalona,FUENCARRAL-EL PARDO, ,GRÚA,5
CSS Badalona,FUENCARRAL-EL PARDO, ,INFORME DERIVACION GENERAL,4
CSS Badalona,FUENCARRAL-EL PARDO, ,INFORME SOCIAL FISCALIA DE MENORES,1
CSS Badalona,FUENCARRAL-EL PARDO, ,INFORME SOCIAL FISCALIA INCAPACITACIONES DE ADULTOS,1
CSS Badalona,FUENCARRAL-EL PARDO, ,INFORME SOCIAL JUZGADOS INSTRUCCION,1
CSS Badalona,FUENCARRAL-EL PARDO, ,INGRESO MÍNIMO VITAL,7
CSS Badalona,FUENCARRAL-EL PARDO, ,OFICINA MUNICIPAL DE INFORMACIÓN Y ORIENTACION PARA POBLACION INMIGRANTE,2
CSS Badalona,FUENCARRAL-EL PARDO, ,PISOS TUTELADOS MAYORES CM,2
CSS Badalona,FUENCARRAL-EL PARDO, ,PROYECTOS PROPIOS DEL DISTRITO,9
CSS Badalona,FUENCARRAL-EL PARDO, ,RENTA MINÍMA DE INSERCIÓN,16
CSS Badalona,FUENCARRAL-EL PARDO, ,RESIDENCIA (MAYORES CON DETERIORO FÍSICO O RELACIONAL) ,2
CSS Badalona,FUENCARRAL-EL PARDO, ,RESIDENCIA (MAYORES ENFERMOS ALZHEIMER U OTRAS DEMENCIAS),3
CSS Badalona,FUENCARRAL-EL PARDO, ,RESIDENCIA DEPENDENCIA (MAYORES ENFERMOS ALZHEIMER U OTRAS DEMENCIAS),5
CSS Badalona,FUENCARRAL-EL PARDO, ,RESIDENCIA MAYORES AUTONOMOS CM,2
CSS Badalona,FUENCARRAL-EL PARDO, ,RESIDENCIA MAYORES DE EMERGENCIA SOCIAL,1
CSS Badalona,FUENCARRAL-EL PARDO, ,RESIDENCIA TEMPORAL MAYORES CM,5
CSS Badalona,FUENCARRAL-EL PARDO, ,RESPIRO FAMILIAR/FIN DE SEMANA / C.DÍA,1
CSS Badalona,FUENCARRAL-EL PARDO, ,SALUD Y SEGURIDAD SOCIAL CM,1
CSS Badalona,FUENCARRAL-EL PARDO, ,SERCAF MENORES,3
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO  FISIOTERAPIA PREVENTIVA,1
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO AYUDA A DOMICILIO DISCAPACITADOS DEPENDENCIA,5
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,81
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO DE AYUDA  A DOMICILIO  MAYORES,126
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS,6
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS EXCEPCIONAL,1
CSS Badalona,FUENCARRAL-EL PARDO, ,SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL,24
CSS Badalona,FUENCARRAL-EL PARDO, ,TELEASISTENCIA DISCAPACITADOS ASP,3
CSS Badalona,FUENCARRAL-EL PARDO, ,TELEASISTENCIA DISCAPACITADOS DEPENDENCIA,2
CSS Badalona,FUENCARRAL-EL PARDO, ,TELEASISTENCIA MAYORES ASP,60
CSS Badalona,FUENCARRAL-EL PARDO, ,TELEASISTENCIA MAYORES DEPENDENCIA,28
CSS Badalona,FUENCARRAL-EL PARDO, ,TRABAJO Y EMPLEO,15
CSS Badalona,FUENCARRAL-EL PARDO, ,TRABAJO Y EMPLEO CM,1
CSS Badalona,FUENCARRAL-EL PARDO, ,TUTELA ADULTOS CM,1
CSS Badalona,FUENCARRAL-EL PARDO, ,VIVIENDA,22
CSS Badalona,FUENCARRAL-EL PARDO, ,VIVIENDA CM,11
CSS Badalona,FUENCARRAL-EL PARDO,18 - 24,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO,1
CSS Badalona,FUENCARRAL-EL PARDO,18 - 24,SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA,1
CSS Badalona,FUENCARRAL-EL PARDO,25 - 29,TRABAJO Y EMPLEO,1
CSS Badalona,FUENCARRAL-EL PARDO,25 - 29,TRABAJO Y EMPLEO CM,1
CSS Badalona,FUENCARRAL-EL PARDO,25 - 29,VIVIENDA,1
CSS Badalona,FUENCARRAL-EL PARDO,25 - 29,VIVIENDA CM,1
CSS Badalona,FUENCARRAL-EL PARDO,30 - 34,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,2
CSS Badalona,FUENCARRAL-EL PARDO,30 - 34,COBERTURA NECESIDADES BASICAS,2
CSS Badalona,FUENCARRAL-EL PARDO,30 - 34,TRABAJO Y EMPLEO,1
CSS Badalona,FUENCARRAL-EL PARDO,35 - 39,ASOCIACIONES ONG,1
CSS Badalona,FUENCARRAL-EL PARDO,35 - 39,CENTROS ABIERTOS ,1
CSS Badalona,FUENCARRAL-EL PARDO,35 - 39,VIVIENDA,1
CSS Badalona,FUENCARRAL-EL PARDO,40 - 44,AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS,1
CSS Badalona,FUENCARRAL-EL PARDO,40 - 44,TRABAJO Y EMPLEO,1
CSS Badalona,FUENCARRAL-EL PARDO,60 - 64,ASOCIACIONES ONG,1
CSS Badalona,FUENCARRAL-EL PARDO,60 - 64,PROYECTOS PROPIOS DEL DISTRITO,1
CSS Badalona,FUENCARRAL-EL PARDO,60 - 64,TELEASISTENCIA DISCAPACITADOS ASP,1
CSS Badalona,FUENCARRAL-EL PARDO,60 - 64,TRABAJO Y EMPLEO,1
CSS Badalona,FUENCARRAL-EL PARDO,60 - 64,VIVIENDA,1
CSS Badalona,FUENCARRAL-EL PARDO,65 - 69,PENSION NO CONTRIBUTIVA CM,1
CSS Badalona,FUENCARRAL-EL PARDO,65 - 69,PROYECTOS PROPIOS DEL DISTRITO,1
