Centro,Distrito Centro,N_demandas
CSS Badalona,FUENCARRAL-EL PARDO,815
CSS Calahorra,VICÁLVARO,2968
CSS Concepción Arenal,HORTALEZA,5704
CSS Dehesa de la Villa,MONCLOA-ARAVACA     ,8707
CSS Eduardo Minguito,VILLAVERDE,10982
CSS El Querol,HORTALEZA,1068
CSS Entrevías,PUENTE DE VALLECAS,1268
CSS Fuente Carrantona,MORATALAZ,3812
CSS Fuerte de Navidad,LATINA,1157
CSS Gallur,LATINA,3198
CSS Guindalera,SALAMANCA,5746
CSS Huerta de Villaverde,VILLAVERDE,7101
CSS Infante Don Juan ,MONCLOA-ARAVACA     ,3330
CSS José Villarreal,ARGANZUELA,6795
CSS Los Yébenes,LATINA,5390
CSS Loyola de Palacio,USERA ,4634
CSS Luis Vives,CIUDAD LINEAL,6776
CSS Maravillas,CENTRO,3625
CSS Marta Esquivias Tallada,CHAMBERÍ,4012
CSS María Zayas,TETUÁN,2449
CSS Monseñor Óscar Romero,CARABANCHEL,3072
CSS Pablo Casals,SAN BLAS-CANILLEJAS,814
CSS Pablo Neruda,PUENTE DE VALLECAS,7705
CSS Plaza Elíptica,CARABANCHEL,1298
CSS Puerta de Toledo,CENTRO,2314
CSS Ramón Pérez De Ayala,PUENTE DE VALLECAS,696
CSS Retiro,RETIRO,3561
CSS San Diego,PUENTE DE VALLECAS,544
CSS San Filiberto,USERA ,5650
CSS San Vicente de Paúl,FUENCARRAL-EL PARDO,1461
CSS Santa Felicidad,CIUDAD LINEAL,2811
CSS Santa Hortensia,CHAMARTÍN,7664
CSS Teresa de Calcuta,BARAJAS,3487
CSS Torre Arias,SAN BLAS-CANILLEJAS,1161
CSS Valdebernardo,VICÁLVARO,1793
CSS Vicente Ferrer,TETUÁN,2701
CSS Villa de Vallecas,VILLA DE VALLECAS,6129
CSS Zaida,CARABANCHEL,4926
SERVICIOS SOCIALES,Sin Distrito,216
